,listing_type,listing_title,bed_type,availability,price,rating,number_of_ratings
274,Apartment in Nairobi,Charming 2Bdrm Serviced Apt. in Kilimani Area,2 beds,Sep 6 – 13,$47,4.6,5
275,Condo in Nairobi,One Bed with Heated Pool & Great View,1 bed,Mar 25 – Apr 1,$33,5.0,3
276,Apartment in Nairobi,COZY STUDIO AT THE HEART OF NAIROBI WITH NETFLIX,1 queen bed,Apr 2 – 9,$14,4.11,9
277,Condo in Nairobi,Stylish luxe apartment,1 queen bed,Jul 21 – 28,$52,4.86,22
278,Apartment in Nairobi,The stays at see-far- 2 bedroom apartment,2 beds,Jun 23 – 30,$44,4.75,16
279,Condo in Nairobi,"Crystal gem
(Netflix, WiFi, Pool, Gym, Parking)",1 double bed,Jul 21 – 28,$22,4.66,32
280,Apartment in Nairobi,Cosy Compact Studio-Near Sarit Centre Westlands,1 single bed,Apr 2 – 9,$27,4.93,14
281,Apartment in Nairobi,"Skyline Views from 12th floor, rooftop pool & gym",1 king bed,Jun 21 – 28,$56,New,0
282,Apartment in Nairobi,"iMagine White Collection, 1 Bedroom Kilimani",1 bed,Oct 25 – Nov 1,$62,New,0
283,Apartment in Nairobi,M's Haven! near Westlands,1 bed,Dec 9 – 16,$26,New,0
284,Private room in Nairobi,The Marian Residence - Westlands,1 queen bed,Jul 11 – 18,$15,New,0
285,Apartment in KE,Prime Serviced Residence ( 1 bed room),1 double bed,Aug 2 – 9,$54,New,0
286,Condo in Nairobi,One Bed with Heated Pool & Great View,1 bed,May 7 – 14,$33,New,0
287,Apartment in Nairobi,"Lemac 1108 Furnished Prime apartment, Westlands",1 king bed,Nov 30 – Dec 7,$52,New,0
288,Apartment in Nairobi,Lovely 1-bed Condo,1 queen bed,Aug 30 – Sep 6,$14,New,0
289,Treehouse in Nairobi,Nairobi Dawn Chorus,1 king bed,Mar 24 – 31,$141,New,0
290,Apartment in Nairobi,New 5★ Cosy ∣ Clean & Convenient 1BR Westlands Apt,1 bed,Jul 29 – Aug 5,$41,New,0
291,Private room in Nairobi,Welcome home in Kenya,1 bed,Dec 24 – 31,$22,New,0
292,Condo in Nairobi,Spacious Modern Apt 15mins  to CBD • 20mins to UN,1 queen bed,Jul 18 – 25,$29,New,0
293,Condo in Nairobi,Executive studio with free parking in Kilimani,1 bed,Feb 18 – 25,$20,New,0
294,Apartment in Nairobi,"Hidden Gem
Cozy 1 bedroom in the heart of Kilimani",1 bed,Sep 11 – 18,$53,New,0
295,Private room in Nairobi,Lovely one ensuite-bedroom casa with stunning view,1 queen bed,Sep 11 – 18,$24,New,0
296,Apartment in Nairobi,"Unwind In The City, Airy 1 bdrm w/ Rustic Accents",1 queen bed,Sep 9 – 16,$27,New,0
297,Apartment in Nairobi,"Karibu Home | Comfy King bed, Free wifi, Near CBD",1 queen bed,Aug 19 – 26,$29,New,0
298,Condo in Nairobi,2 Bedroom Luxury Suite | Silverstone,3 beds,Jul 24 – 31,$39,New,0
299,Apartment in Nairobi,Sunset views on 9th floor w/ King Bed in Lavington,1 king bed,Jun 12 – 19,$56,New,0
300,Apartment in Nairobi,Chic 1BR in Westlands- 5 mins from local spots,1 double bed,Sep 27 – Oct 4,$41,New,0
