,listing_type,listing_title,bed_type,availability,price,rating,number_of_ratings
153,Apartment in Nairobi,SkyView Top Studio,1 queen bed,Jun 10 – 17,$26,4.84,113
154,Apartment in Nairobi,The stays at see-far- 2 bedroom apartment,2 beds,Nov 18 – 25,$42,4.75,16
155,Private room in Nairobi,Cozy Luxurious Private Room with amazing views,1 king bed,Nov 1 – 8,$20,4.78,9
156,Apartment in Nairobi,Lovely 1-bed Condo,1 queen bed,Dec 19 – 26,$14,4.69,16
157,Apartment in Nairobi,The Nest in Karen,1 queen bed,Aug 24 – 31,$63,4.84,221
158,Apartment in Nairobi,The Jade Luxury Gem Apartment in Nairobi Ngara,2 queen beds,Oct 2 – 9,$18,4.33,24
159,Apartment in Nairobi,Lovely Apartment in Westlands,1 queen bed,Sep 7 – 14,$50,4.88,116
160,Apartment in Nairobi,Elegant stylish 1 bedroom with gym &pool Kilimani,1 bed,Dec 17 – 24,$57,4.55,11
161,Treehouse in Nairobi,Nairobi Dawn Chorus,1 king bed,Jan 2 – 9,$140,4.96,162
162,Private room in Nairobi,The Marian Residence - Westlands,1 queen bed,Jul 12 – 19,$15,4.82,33
163,Condo in Nairobi,One Bed with Heated Pool & Great View,1 bed,Nov 6 – 13,$33,5.0,3
164,Apartment in Nairobi,Chic 1BR in Westlands- 5 mins from local spots,1 double bed,Jul 11 – 18,$41,4.51,49
165,Cottage in Nairobi,"The A-Frame | Windy Ridge, Karen",1 bed,Feb 8 – 15,$163,4.96,117
166,Condo in Nairobi,Lavish Studio Apartment w/free Wifi and Netflix.,1 queen bed,Nov 17 – 24,$13,4.65,17
167,Bus in Nairobi,"★The Brandy Bus, Glamping In a Quiet Paradise",4 beds,Jan 10 – 17,$124,4.91,466
168,Apartment in KE,Prime Serviced Residence ( 1 bed room),1 double bed,Jul 22 – 29,$54,5.0,9
169,Apartment in Nairobi,Unwind in a Modern 1BR w/ King Bed in Kileleshwa,1 king bed,Dec 10 – 17,$56,4.74,19
170,Apartment in Nairobi,"Penthouse near Yaya Centre Kilimani,
1 bedroom.",1 bed,Jun 12 – 19,$40,New,0
171,Apartment in Nairobi,M's Haven! near Westlands,1 bed,Jan 24 – 31,$26,New,0
172,Apartment in Nairobi,The stays at see-far- 2 bedroom apartment,2 beds,Apr 1 – 8,$42,4.75,16
173,Apartment in Nairobi,SkyView Top Studio,1 queen bed,Dec 3 – 10,$26,4.84,113
174,Villa in Nairobi,"Kileleshwa 1-bdr, king size bed w  floor mirrors",1 bed,Aug 14 – 21,$26,4.67,3
175,Apartment in Nairobi,Lovely 1-bed Condo,1 queen bed,Jun 27 – Jul 4,$14,4.69,16
176,Private room in Nairobi,Cozy Luxurious Private Room with amazing views,1 king bed,Nov 8 – 15,$20,4.78,9
177,Apartment in Nairobi,The Nest in Karen,1 queen bed,Sep 17 – 24,$69,4.84,221
178,Apartment in Nairobi,Elegant stylish 1 bedroom with gym &pool Kilimani,1 bed,Dec 2 – 9,$57,4.55,11
179,Apartment in KE,12th Floor Luxury Apt with an Amazing View & Pool,1 bed,Nov 10 – 17,$57,4.83,24
180,Apartment in Nairobi,"Affordable studio apartments in Kilimani, Enclave",1 queen bed,Jul 20 – 27,$47,4.42,168
181,Treehouse in Nairobi,Nairobi Dawn Chorus,1 king bed,Jan 23 – 30,$140,New,0
182,Condo in Nairobi,"Welcome to Chez Besty
A bohemian modern style Appt",1 queen bed,Sep 6 – 13,$60,New,0
183,Apartment in KE,Prime Serviced Residence ( 1 bed room),1 double bed,Aug 23 – 30,$54,New,0
184,Private room in Nairobi,The Marian Residence - Westlands,1 queen bed,Jul 12 – 19,$15,New,0
185,Apartment in Nairobi,"Down by the river 2, One Bedroom Apartment",1 bed,Aug 11 – 18,$37,New,0
186,Condo in Nairobi,One Bed with Heated Pool & Great View,1 bed,Mar 15 – 22,$33,New,0
187,Apartment in Nairobi,"Penthouse near Yaya Centre Kilimani,
1 bedroom.",1 bed,Mar 2 – 9,$40,New,0
188,Apartment in Nairobi,Chic 1BR in Westlands- 5 mins from local spots,1 double bed,Sep 16 – 23,$41,New,0
189,Apartment in Nairobi,"𝕊𝕠𝕧𝕖𝕣𝕖𝕚𝕘𝕟 𝕆𝕒𝕤𝕚𝕤- 𝟚 𝕓𝕖𝕕𝕣𝕠𝕠𝕞, 𝟚 𝕓𝕒𝕥𝕙 𝕤𝕒𝕟𝕔𝕥𝕦𝕒𝕣𝕪.",2 queen beds,Dec 21 – 28,$95,New,0
190,Bus in Nairobi,"★The Brandy Bus, Glamping In a Quiet Paradise",4 beds,Jan 18 – 25,$103,New,0
191,Condo in Nairobi,Charming studio apartments in the heart of Nairobi,1 bed,Jan 1 – 8,$18,New,0
192,Apartment in Nairobi,M's Haven! near Westlands,1 bed,May 7 – 14,$26,New,0
193,Apartment in Nairobi,"Affordable studio apartments in Kilimani, Enclave",1 queen bed,Oct 3 – 10,$48,New,0
194,Apartment in Nairobi,Elegant stylish 1 bedroom with gym &pool Kilimani,1 bed,Dec 7 – 14,$57,New,0
195,Condo in Nairobi,"Modern, Spacious, 1 bedroom Apartment in Westlands",1 bed,Aug 13 – 20,$36,New,0
196,Apartment in Nairobi,Unwind in a Modern 1BR w/ King Bed in Kileleshwa,1 king bed,Jul 27 – Aug 3,$56,New,0
197,Condo in Nairobi,1 bedroom apartment with a nice view,1 double bed,Dec 6 – 13,$47,New,0
198,Condo in Nairobi,Super cute and cosy studio apartment in Kileleshwa,1 bed,Nov 3 – 10,$42,New,0
199,Apartment in Nairobi,Nairobi's Zen Den by Shaaz,2 beds,Aug 26 – Sep 2,$45,New,0
200,Apartment in Nairobi,"✨ORAK✨Unwind in an Executive, Sleek Apartment/Pool",2 beds,Sep 20 – 27,$82,New,0
201,Treehouse in Nairobi,Nairobi Dawn Chorus,1 king bed,Mar 20 – 27,$141,4.96,162
202,Private room in Nairobi,The Marian Residence - Westlands,1 queen bed,Jul 11 – 18,$15,4.82,33
203,Condo in Nairobi,One Bed with Heated Pool & Great View,1 bed,Jun 26 – Jul 3,$33,5.0,3
204,Apartment in Nairobi,Chic 1BR in Westlands- 5 mins from local spots,1 double bed,Jul 10 – 17,$41,4.51,49
205,Cottage in Nairobi,"The A-Frame | Windy Ridge, Karen",1 bed,Nov 23 – 30,$163,4.96,117
206,Bus in Nairobi,"★The Brandy Bus, Glamping In a Quiet Paradise",4 beds,Jun 14 – 21,$103,4.91,466
207,Apartment in KE,Prime Serviced Residence ( 1 bed room),1 double bed,Sep 25 – Oct 2,$60,5.0,9
208,Apartment in Nairobi,The stays at see-far- 2 bedroom apartment,2 beds,Jul 21 – 28,$39,4.75,16
209,Apartment in Nairobi,Unwind in a Modern 1BR w/ King Bed in Kileleshwa,1 king bed,Aug 4 – 11,$56,4.74,19
210,Apartment in Nairobi,"Penthouse near Yaya Centre Kilimani,
1 bedroom.",1 bed,Oct 30 – Nov 6,$40,New,0
211,Apartment in Nairobi,M's Haven! near Westlands,1 bed,Nov 30 – Dec 7,$26,New,0
212,Apartment in Nairobi,SkyView Top Studio,1 queen bed,Jan 16 – 23,$26,4.84,113
213,Condo in Nairobi,'Tranquil Abode' - Enjoy a Piece of Paradise,1 double bed,Dec 9 – 16,$15,4.71,91
214,Apartment in Nairobi,Lovely Apartment in Westlands,1 queen bed,Nov 24 – Dec 1,$50,4.88,116
215,Apartment in Nairobi,Lovely 1-bed Condo,1 queen bed,May 19 – 26,$14,4.69,16
216,Apartment in Nairobi,The Nest in Karen,1 queen bed,Sep 18 – 25,$69,4.84,221
217,Private room in Nairobi,Cozy Luxurious Private Room with amazing views,1 king bed,Jul 16 – 23,$20,4.78,9
218,Apartment in Nairobi,Rare & Glamorous 1BR N Westlands Nairobi with Pool,1 bed,Nov 4 – 11,$79,5.0,3
