,listing_type,listing_title,Host Level,bed_type,availability,price,rating,number_of_ratings,Link
232,Condo in Mombasa ,"Clean, Co️mfy, Designer Studio, WiFi Netflix 50”TV",Superhost,1 queen bed,Aug 2 – 9,$35,4.84,116,www.airbnb.com/rooms/41245448?adults=1&children=0&infants=0&check_in=2022-08-02&check_out=2022-08-09&previous_page_section_name=1000
233,Condo in Mombasa,Bamburi Fisheries A1 Cheap and Cosy 1Bedroom,Starter / Mid,1 queen bed,Jun 18 – 25,$14,4.6,5,www.airbnb.com/rooms/36294576?adults=1&children=0&infants=0&check_in=2023-06-18&check_out=2023-06-25&previous_page_section_name=1000
234,Apartment in Mombasa,Cozy poolside 2 bed unit 5 mins walk to the beach.,Starter / Mid,2 beds,Aug 8 – 15,$34,4.71,28,www.airbnb.com/rooms/48408729?adults=1&children=0&infants=0&check_in=2022-08-08&check_out=2022-08-15&previous_page_section_name=1000
235,Vacation home in Mombasa,Lovely Studio Apartment with a Pool,Starter / Mid,1 double bed,May 6 – 13,$16,4.7,23,www.airbnb.com/rooms/53866957?adults=1&children=0&infants=0&check_in=2023-05-06&check_out=2023-05-13&previous_page_section_name=1000
236,Condo in Mombasa,Cozy studio with a free parking on premises,Starter / Mid,1 bed,Aug 11 – 18,$25,5.0,3,www.airbnb.com/rooms/649244496391409388?adults=1&children=0&infants=0&check_in=2022-08-11&check_out=2022-08-18&previous_page_section_name=1000
237,Condo in Mombasa,"Serene 2-BR Beachfront Apartment with Pool, WiFi",Superhost,3 beds,Aug 20 – 27,$57,New,0,www.airbnb.com/rooms/646948858122528113?adults=1&children=0&infants=0&check_in=2022-08-20&check_out=2022-08-27&previous_page_section_name=1000
238,Private room in Mombasa,SeaOne Nyali Mombasa Studio Private room w/ pool,Superhost,1 queen bed,Aug 10 – 17,$53,4.73,11,www.airbnb.com/rooms/54244452?adults=1&children=0&infants=0&check_in=2022-08-10&check_out=2022-08-17&previous_page_section_name=1000
239,Apartment in Mombasa,"STYLISH, CLEAN  1BR, WIFI,NETFLIX, HOT WATER NYALI",Starter / Mid,1 king bed,Dec 18 – 25,$29,4.64,28,www.airbnb.com/rooms/49939712?adults=1&children=0&infants=0&check_in=2022-12-18&check_out=2022-12-25&previous_page_section_name=1000
240,Private room in Mombasa,Lovely single bed units for sleep over,Starter / Mid,1 bed,Dec 11 – 18,$12,New,0,www.airbnb.com/rooms/637972931550302452?adults=1&children=0&infants=0&check_in=2022-12-11&check_out=2022-12-18&previous_page_section_name=1000
241,Private room in Mombasa,SeaOne Nyali Mombasa Studio Private room w/ pool,Superhost,1 queen bed,Dec 13 – 20,$24,New,0,www.airbnb.com/rooms/54244452?adults=1&children=0&infants=0&check_in=2022-12-13&check_out=2022-12-20&previous_page_section_name=1000
242,Apartment in Mombasa,Stylish studio in Bamburi,Superhost,1 bed,May 21 – 28,$17,New,0,www.airbnb.com/rooms/51220039?adults=1&children=0&infants=0&check_in=2023-05-21&check_out=2023-05-28&previous_page_section_name=1000
243,Cottage in Tiwi,Luxury Honeymoon Cottage/Tent Tiwi Beach Kenya....,Superhost,2 beds,Dec 1 – 8,$164,New,0,www.airbnb.com/rooms/10556825?adults=1&children=0&infants=0&check_in=2022-12-01&check_out=2022-12-08&previous_page_section_name=1000
244,Condo in Mombasa,Cozy studio with a free parking on premises,Starter / Mid,1 bed,Sep 9 – 16,$25,New,0,www.airbnb.com/rooms/649244496391409388?adults=1&children=0&infants=0&check_in=2022-09-09&check_out=2022-09-16&previous_page_section_name=1000
245,Apartment in Mombasa,Stylish One bedroom Apartment,Starter / Mid,1 bed,Sep 14 – 21,$33,New,0,www.airbnb.com/rooms/52791569?adults=1&children=0&infants=0&check_in=2022-09-14&check_out=2022-09-21&previous_page_section_name=1000
246,Apartment in Mombasa,"Sweet Haven, 1BR, Clean, Stylish, Wifi, Netflix",Superhost,1 double bed,Aug 15 – 22,$27,New,0,www.airbnb.com/rooms/47155450?adults=1&children=0&infants=0&check_in=2022-08-15&check_out=2022-08-22&previous_page_section_name=1000
247,Condo in Mombasa,Goldie’s beach studio,Starter / Mid,1 bed,Apr 14 – 21,$27,New,0,www.airbnb.com/rooms/50095906?adults=1&children=0&infants=0&check_in=2023-04-14&check_out=2023-04-21&previous_page_section_name=1000
248,Apartment in Mtwapa,"Modern, Cozy Studio Wi-Fi|Netflix◇with Hot shower",Superhost,1 queen bed,Mar 29 – Apr 5,$21,New,0,www.airbnb.com/rooms/46421735?adults=1&children=0&infants=0&check_in=2023-03-29&check_out=2023-04-05&previous_page_section_name=1000
249,Condo in Mombasa,"Stylish 2-Bedroom apt. All Ensuite with pool, Lift",Superhost,2 beds,Nov 7 – 14,$68,New,0,www.airbnb.com/rooms/613404406511746670?adults=1&children=0&infants=0&check_in=2022-11-07&check_out=2022-11-14&previous_page_section_name=1000
250,Condo in Mombasa ,"Clean, Co️mfy, Designer Studio, WiFi Netflix 50”TV",Superhost,1 queen bed,Aug 31 – Sep 7,$34,New,0,www.airbnb.com/rooms/41245448?adults=1&children=0&infants=0&check_in=2022-08-31&check_out=2022-09-07&previous_page_section_name=1000
251,Vacation home in Mombasa,Lovely Studio Apartment with a Pool,Starter / Mid,1 double bed,Apr 22 – 29,$16,New,0,www.airbnb.com/rooms/53866957?adults=1&children=0&infants=0&check_in=2023-04-22&check_out=2023-04-29&previous_page_section_name=1000
252,Private room in Mombasa,"Romantic 4 poster bed, sea view, own living room",Superhost,2 beds,Aug 11 – 18,$27,New,0,www.airbnb.com/rooms/11593645?adults=1&children=0&infants=0&check_in=2022-08-11&check_out=2022-08-18&previous_page_section_name=1000
